Disease,Specialist
Drug Reaction,Allergist or Immunologist
"Malaria	Infectious",Disease Specialist or Travel Medicine Specialist
Allergy,Allergist or Immunologist
Hypothyroidism,Endocrinologist
Psoriasis,Dermatologist or Rheumatologist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist or Gastroenterologist
hepatitis A,Infectious Disease Specialist or Gastroenterologist
Osteoarthristis,Rheumatologist or Orthopedic Surgeon
(vertigo) Paroymsal  Positional Vertigo,Neurologist or Otolaryngologist (ENT - Ear Nose and Throat specialist)
Hypoglycemia,Endocrinologist
Acne,Dermatologist
Diabetes,Endocrinologist
Impetigo,Pediatrician Dermatologist or General Practitioner
Hypertension,Cardiologist
Peptic ulcer diseae,Gastroenterologist
Dimorphic hemorrhoids(piles),Colorectal Surgeon or Gastroenterologist
Common Cold,General Practitioner or Internist
Chicken pox,Pediatrician or Infectious Disease Specialist
Cervical spondylosis,Orthopedic Surgeon or Neurologist
Hyperthyroidism,Endocrinologist
Urinary tract infection,Urologist or Infectious Disease Specialist
Varicose veins,Vascular Surgeon
AIDS,Infectious Disease Specialist or Immunologist
Paralysis (brain hemorrhage),Neurologist or Rehabilitation Specialist
Typhoid,Infectious Disease Specialist or Gastroenterologist
Hepatitis B,Infectious Disease Specialist or Gastroenterologist
Fungal infection,Dermatologist or Infectious Disease Specialist
Hepatitis C,Infectious Disease Specialist or Gastroenterologist
Migraine,Neurologist
Bronchial Asthma,Pulmonologist or Allergist
Alcoholic hepatitis,Hepatologist or Gastroenterologist
Jaundice,Hepatologist or Gastroenterologist
Hepatitis E,Infectious Disease Specialist or Gastroenterologist
Dengue,Infectious Disease Specialist or Hematologist
Hepatitis D,Infectious Disease Specialist or Gastroenterologist
Heart attack,Cardiologist
Pneumonia,Pulmonologist or Infectious Disease Specialist
Arthritis,Rheumatologist or Orthopedic Surgeon
Gastroenteritis,Gastroenterologist or Infectious Disease Specialist
Tuberculosis,Pulmonologist or Infectious Disease Specialist
